Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
2.0205,0.0,2.3475,2.4955,2.6336,2.7622,2.8816,2.992,3.094,3.1877
2.267,0.0,2.5774,2.7154,2.8427,2.9596,3.0667,3.1644,3.2532,3.3336
2.556,0.0,2.881,3.0232,3.1528,3.2704,3.3766,3.4721,3.5576,3.6337
2.6414,0.0,2.911,3.0311,3.1419,3.244,3.3375,3.4231,3.501,3.5716
2.815,0.0,3.029,3.1238,3.211,3.2908,3.3637,3.4301,3.4902,3.5445
2.8686,0.0,3.1341,3.2496,3.3544,3.449,3.5341,3.6101,3.6777,3.7374
3.0092,0.0,3.2606,3.3693,3.4675,3.5557,3.6346,3.7046,3.7665,3.8208
3.2306,0.0,3.488,3.5993,3.6996,3.7897,3.8702,3.9416,4.0047,4.0599
3.3059,0.0,3.6194,3.7529,3.8719,3.9776,4.0706,4.1519,4.2224,4.2829
3.3242,0.0,3.6155,3.7427,3.8584,3.9632,4.0577,4.1425,4.2182,4.2855
3.4644,0.0,3.7423,3.862,3.9699,4.0666,4.1528,4.2292,4.2965,4.3553
3.4661,0.0,3.6761,3.7702,3.8573,3.9379,4.0121,4.0803,4.1428,4.1998
3.5221,0.0,3.6368,3.6932,3.7486,3.803,3.8561,3.9079,3.958,4.0064
3.5903,0.0,3.6667,3.706,3.7455,3.7853,3.8249,3.8642,3.903,3.9411
3.6873,0.0,3.7343,3.7611,3.7896,3.8195,3.8505,3.8823,3.9146,3.947
3.6843,0.0,3.7247,3.7485,3.7741,3.8013,3.8298,3.8592,3.8892,3.9196
3.8634,0.0,3.9387,3.9753,4.0111,4.046,4.0798,4.1126,4.1442,4.1745
3.9415,0.0,4.0409,4.0873,4.1315,4.1734,4.2132,4.2509,4.2864,4.3197
3.8523,0.0,3.9086,3.9393,3.9714,4.0045,4.0385,4.0729,4.1075,4.142
4.0651,0.0,4.097,4.1176,4.1409,4.1665,4.194,4.2231,4.2534,4.2845
4.1889,0.0,4.2275,4.2503,4.2749,4.3011,4.3287,4.3573,4.3866,4.4164
4.3969,0.0,4.4434,4.4674,4.4917,4.5163,4.5409,4.5654,4.5898,4.6139
4.4302,0.0,4.5101,4.5483,4.5853,4.6209,4.6553,4.6884,4.7201,4.7504
4.4011,0.0,4.4508,4.4771,4.504,4.5315,4.5593,4.5873,4.6153,4.643
4.1429,0.0,4.2283,4.2716,4.315,4.3584,4.4015,4.4442,4.4862,4.5273
4.0644,0.0,4.18,4.236,4.2906,4.3438,4.3953,4.4452,4.4933,4.5394
4.0917,0.0,4.1701,4.211,4.2528,4.2952,4.3379,4.3807,4.4232,4.4653
3.9504,0.0,4.038,4.0854,4.1348,4.1857,4.2378,4.2907,4.3439,4.3971
3.9711,0.0,4.0738,4.127,4.181,4.2356,4.2903,4.3448,4.3989,4.4522
3.5514,0.0,3.703,3.7789,3.8546,3.9297,4.004,4.0771,4.1487,4.2186
3.4285,0.0,3.5927,3.6778,3.7642,3.8513,3.9388,4.0259,4.1123,4.1973
3.902,0.0,3.9793,4.0255,4.076,4.1301,4.1871,4.2465,4.3075,4.3696
4.0199,0.0,4.1111,4.1626,4.2173,4.2745,4.3338,4.3944,4.4559,4.5175
4.4481,0.0,4.5236,4.5652,4.609,4.6544,4.7011,4.7486,4.7966,4.8446
4.96,0.0,5.0244,5.0548,5.084,5.1121,5.1389,5.1646,5.1892,5.2126
4.521,0.0,4.6255,4.6751,4.723,4.769,4.8132,4.8555,4.8958,4.9342
4.3112,0.0,4.4002,4.4461,4.4925,4.5393,4.5862,4.6328,4.6791,4.7248
3.5827,0.0,3.9245,4.0728,4.2069,4.3275,4.4353,4.531,4.6152,4.6887
3.3523,0.0,3.8761,4.1016,4.3045,4.4858,4.6466,4.788,4.9112,5.0173
3.0053,0.0,3.4116,3.5924,3.7592,3.9124,4.0526,4.1804,4.2964,4.401
2.5689,0.0,3.1539,3.4092,3.641,3.8507,4.0392,4.2077,4.3573,4.4892
1.7901,0.0,2.6682,3.0442,3.3811,3.6809,3.9458,4.1779,4.3793,4.5522
1.6289,0.0,2.5719,2.9776,3.3423,3.6681,3.9573,4.2119,4.4341,4.6261
1.7143,0.0,2.5054,2.8527,3.1698,3.4579,3.7186,3.9531,4.163,4.3494
1.5055,0.0,2.3607,2.7311,3.0659,3.3668,3.6356,3.8742,4.0844,4.2679
1.3449,0.0,2.3798,2.8207,3.2142,3.5629,3.8696,4.1368,4.3673,4.5637
1.1634,0.0,2.1791,2.6156,3.0077,3.3579,3.6684,3.9417,4.1801,4.3862
1.1755,0.0,2.1143,2.5177,2.8801,3.2037,3.4908,3.7437,3.9646,4.1557
1.2256,0.0,2.1568,2.5554,2.9126,3.2306,3.5118,3.7585,3.9729,4.1576
1.0981,0.0,2.0189,2.4137,2.7677,3.0832,3.3625,3.6078,3.8213,4.0052
1.1873,0.0,2.0345,2.4024,2.7355,3.0357,3.3046,3.5441,3.756,3.942
1.267,0.0,2.0745,2.425,2.7424,3.0282,3.2843,3.5123,3.714,3.891
1.904,0.0,2.3873,2.6167,2.8376,3.0494,3.2519,3.4448,3.6276,3.8
1.3943,0.0,2.1957,2.5431,2.8571,3.1396,3.3922,3.6166,3.8144,3.9875
0.9714,0.0,1.8871,2.2833,2.641,2.9622,3.2489,3.5031,3.7268,3.9219
0.9682,0.0,1.8499,2.2316,2.5764,2.8863,3.1632,3.4089,3.6254,3.8146
1.3027,0.0,2.113,2.4661,2.7865,3.076,3.336,3.5681,3.7741,3.9553
1.7574,0.0,2.5276,2.8639,3.1696,3.4461,3.6951,3.9178,4.1158,4.2907
1.6689,0.0,2.3737,2.6859,2.9728,3.2353,3.4745,3.6913,3.887,4.0624
1.3519,0.0,2.0938,2.4222,2.7236,2.9993,3.2502,3.4777,3.6826,3.8663
1.3933,0.0,2.0813,2.3863,2.6665,2.923,3.1567,3.3688,3.5602,3.7319
1.6562,0.0,2.2948,2.5786,2.8398,3.0795,3.2985,3.4976,3.6779,3.8402
1.7388,0.0,2.3929,2.6806,2.9435,3.1828,3.3995,3.5947,3.7696,3.9252
2.1077,0.0,2.797,3.0963,3.3674,3.6117,3.8307,4.0257,4.1983,4.3499
2.4279,0.0,3.1614,3.4745,3.7543,4.0027,4.2217,4.413,4.5787,4.7206
2.1426,0.0,2.9511,3.2955,3.6028,3.8753,4.115,4.3242,4.505,4.6594
2.4444,0.0,3.2868,3.6417,3.9557,4.2313,4.4712,4.6776,4.8533,5.0007
2.3473,0.0,3.1728,3.5234,3.8356,4.1118,4.3541,4.5649,4.7464,4.901
2.5721,0.0,3.2712,3.5688,3.8343,4.0697,4.2769,4.4578,4.6145,4.7487
2.5355,0.0,3.2045,3.4907,3.747,3.9751,4.1769,4.3539,4.508,4.641
2.7355,0.0,3.4178,3.707,3.9641,4.1912,4.3904,4.5636,4.7128,4.84
4.3216,0.0,4.9117,5.1509,5.3563,5.5303,5.6755,5.7944,5.8894,5.9631
3.411,0.0,3.8918,4.1211,4.3426,4.5558,4.7604,4.9561,5.1424,5.319
3.988,0.0,4.4906,4.7202,4.9357,5.1371,5.3247,5.4987,5.6593,5.8067
5.1504,0.0,5.5065,5.6685,5.8202,5.9615,6.0928,6.2141,6.3256,6.4276
6.3403,0.0,6.5783,6.6873,6.7895,6.8846,6.9725,7.053,7.1261,7.1914
4.1595,0.0,5.0671,5.4471,5.7813,6.0722,6.3226,6.5348,6.7116,6.8555
2.6378,0.0,3.5305,3.9265,4.2904,4.6232,4.9259,5.1996,5.4453,5.6641
1.4802,0.0,2.5953,3.0694,3.4916,3.8649,4.1922,4.4764,4.7204,4.9271
2.324,0.0,3.3081,3.7203,4.0835,4.4007,4.6749,4.9093,5.1069,5.2708
